year,title,china_title,Articles_URL
2001,"
KNAT2
",诀窍2,http://www.plantcell.org/content/13/8/1719
2003,(E)-β-Ocimene and Myrcene Synthase Genes of Floral Scent Biosynthesis in Snapdragon: Function and Expression of Three Terpene Synthase Genes of a New Terpene Synthase Subfamily,（E） -β-Ocimene和月桂烯合成酶基因在Snapdragon花香生物合成中的作用：一个新的萜烯合成酶亚家族的三个萜烯合成酶基因的功能和表达,http://www.plantcell.org/content/15/5/1227
2011,12-Oxo-Phytodienoic Acid Accumulation during Seed Development Represses Seed Germination in Arabidopsis,12-氧-植物二烯酸积累抑制拟南芥种子萌发,http://www.plantcell.org/content/23/2/583
2003,14-3-3 Proteins Are Constituents of the Insoluble Glycoprotein Framework of the Chlamydomonas Cell Wall,14-3-3蛋白是衣藻细胞壁不溶性糖蛋白骨架的组成成分,http://www.plantcell.org/content/15/6/1399
1998,14-3-3 Proteins Are Part of an Abscisic Acid–VIVIPAROUS1 (VP1) Response Complex in the Em Promoter and Interact with VP1 and EmBP1,14-3-3蛋白是Em启动子中脱落酸-胎生1（VP1）反应复合物的一部分，与VP1和EmBP1相互作用,http://www.plantcell.org/content/10/5/837
2000,14-3-3 Proteins Form a Guidance Complex with Chloroplast Precursor Proteins in Plants,14-3-3蛋白与植物叶绿体前体蛋白形成诱导复合物,http://www.plantcell.org/content/12/1/53
2001,14-3-3 Proteins Regulate Intracellular Localization of the bZIP Transcriptional Activator RSG,14-3-3蛋白调节bZIP转录激活剂RSG的细胞内定位,http://www.plantcell.org/content/13/11/2483
2013,14-3-3 Regulates 1-Aminocyclopropane-1-Carboxylate Synthase Protein Turnover in Arabidopsis,14-3-3调节拟南芥1-氨基环丙烷-1-羧酸合酶蛋白的转换,http://www.plantcell.org/content/25/3/1016
1998,"2,4-Dichlorophenoxybutyric Acid–Resistant Mutants of Arabidopsis Have Defects in Glyoxysomal Fatty Acid β-Oxidation","拟南芥抗2,4-二氯苯氧基丁酸突变体存在乙醛氧体脂肪酸β-氧化缺陷",http://www.plantcell.org/content/10/2/183
2007,3-Hydroxy-3-Methylglutaryl Coenzyme A Reductase1 Interacts with NORK and Is Crucial for Nodulation in Medicago truncatula,3-羟基-3-甲基戊二酰辅酶A还原酶1与NORK相互作用对截形苜蓿结瘤至关重要,http://www.plantcell.org/content/19/12/3974
2016,3D Visualization of Thylakoid Membrane Development,类囊体膜发育的三维可视化,http://www.plantcell.org/content/28/4/827
1989,5' upstream sequences from the wun1 gene are responsible for gene activation by wounding in transgenic plants.,wun1基因的5'上游序列负责转基因植物中的基因损伤激活。,http://www.plantcell.org/content/1/1/151
2019,"97 Shades of Gray: Genetic Interactions of the Gray Mold, Botrytis cinerea, with Wild and Domesticated Tomato",97种灰色：灰霉病灰霉病与野生和驯化番茄的遗传互作,http://www.plantcell.org/content/31/2/280
2009,A 1-Megadalton Translocation Complex Containing Tic20 and Tic21 Mediates Chloroplast Protein Import at the Inner Envelope Membrane,含Tic20和Tic21的百万道尔顿易位复合物介导叶绿体蛋白在内膜的导入,http://www.plantcell.org/content/21/6/1781
1999,A 160-kD Systemin Receptor on the Surface of Lycopersicon peruvianum Suspension-Cultured Cells,秘鲁番茄悬浮培养细胞表面160kd系统蛋白受体的研究,http://www.plantcell.org/content/11/8/1525
1993,A 22-bp fragment of the pea lectin promoter containing essential TGAC-like motifs confers seed-specific gene expression.,豌豆凝集素启动子的22bp片段含有必需的类TGAC基序，赋予种子特异性基因表达。,http://www.plantcell.org/content/5/8/877
1991,A 3' stem/loop structure of the Chlamydomonas chloroplast atpB gene regulates mRNA accumulation in vivo.,衣藻叶绿体atpB基因的3'茎/环结构调节体内mRNA的积累。,http://www.plantcell.org/content/3/3/285
2018,A 5-Enolpyruvylshikimate 3-Phosphate Synthase Functions as a Transcriptional Repressor in Populus,杨树5-烯醇式丙酮酸莽草酸3-磷酸合酶的转录抑制作用,http://www.plantcell.org/content/30/7/1645
1992,A 62-kD sucrose binding protein is expressed and localized in tissues actively engaged in sucrose transport.,一个62kd的蔗糖结合蛋白在积极参与蔗糖转运的组织中表达和定位。,http://www.plantcell.org/content/4/12/1561
2013,A 7-Deoxyloganetic Acid Glucosyltransferase Contributes a Key Step in Secologanin Biosynthesis in Madagascar Periwinkle,7-脱氧葡萄糖基转移酶在马达加斯加文蛤的Secologanin生物合成中起关键作用,http://www.plantcell.org/content/25/10/4123
2001,A 90-kD Phospholipase D from Tobacco Binds to Microtubules and the Plasma Membrane,烟草90kd磷脂酶D与微管和质膜的结合,http://www.plantcell.org/content/13/9/2143
